Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
45.5,16.5,2887,0.561,1,0,0,1,'(62 + 33ω),0,62 + 33ω,29 + 62ω,-33 + 29ω,-62 - 33ω,-29 - 62ω,33 - 29ω
46.0,16.0,2884,0.542,0,1,0,3,(2) (2 - ω) (9 - 2ω),0,62 + 32ω,30 + 62ω,-32 + 30ω,-62 - 32ω,-30 - 62ω,32 - 30ω
46.5,15.5,2883,0.524,0,0,1,3,(2 + ω) (6 + ω) (5 - ω),0,62 + 31ω,31 + 62ω,-31 + 31ω,-62 - 31ω,-31 - 62ω,31 - 31ω
47.0,15.0,2884,0.505,0,1,0,3,(2) (3 + ω) (2 - 9ω),0,62 + 30ω,32 + 62ω,-30 + 32ω,-62 - 30ω,-32 - 62ω,30 - 32ω
47.5,14.5,2887,0.486,1,0,0,1,'(62 + 29ω),0,62 + 29ω,33 + 62ω,-29 + 33ω,-62 - 29ω,-33 - 62ω,29 - 33ω
48.0,14.0,2892,0.468,0,0,0,3,(2 + ω) (2) (15 - ω),0,62 + 28ω,34 + 62ω,-28 + 34ω,-62 - 28ω,-34 - 62ω,28 - 34ω
48.5,13.5,2899,0.449,0,0,0,2,(3 - ω) (6 + 17ω),0,62 + 27ω,35 + 62ω,-27 + 35ω,-62 - 27ω,-35 - 62ω,27 - 35ω
49.0,13.0,2908,0.431,0,0,0,2,(2) (31 + 13ω),0,62 + 26ω,36 + 62ω,-26 + 36ω,-62 - 26ω,-36 - 62ω,26 - 36ω
48.0,13.0,2811,0.439,0,0,0,2,(2 + ω) (3 + 32ω),0,61 + 26ω,35 + 61ω,-26 + 35ω,-61 - 26ω,-35 - 61ω,26 - 35ω
48.5,12.5,2821,0.42,0,0,0,3,(3 + ω) (4 + ω) (5 - ω),0,61 + 25ω,36 + 61ω,-25 + 36ω,-61 - 25ω,-36 - 61ω,25 - 36ω
49.0,12.0,2833,0.401,1,0,0,1,'(61 + 24ω),0,61 + 24ω,37 + 61ω,-24 + 37ω,-61 - 24ω,-37 - 61ω,24 - 37ω
49.5,11.5,2847,0.383,0,0,0,3,(2 + ω) (3 - ω) (9 + ω),0,61 + 23ω,38 + 61ω,-23 + 38ω,-61 - 23ω,-38 - 61ω,23 - 38ω
50.0,11.0,2863,0.364,0,0,0,2,(2 - ω) (8 + 23ω),0,61 + 22ω,39 + 61ω,-22 + 39ω,-61 - 22ω,-39 - 61ω,22 - 39ω
38.5,20.5,2743,0.745,0,1,0,2,(3 - ω) (14 - ω),0,59 + 41ω,18 + 59ω,-41 + 18ω,-59 - 41ω,-18 - 59ω,41 - 18ω
40.0,20.0,2800,0.714,0,1,1,3,(2)² (2 - ω) (5),0,60 + 40ω,20 + 60ω,-40 + 20ω,-60 - 40ω,-20 - 60ω,40 - 20ω
39.0,20.0,2721,0.726,0,0,0,2,(2 + ω) (33 + 7ω),0,59 + 40ω,19 + 59ω,-40 + 19ω,-59 - 40ω,-19 - 59ω,40 - 19ω
40.5,19.5,2781,0.695,0,0,2,2,(2 + ω)³ (2 - 9ω),0,60 + 39ω,21 + 60ω,-39 + 21ω,-60 - 39ω,-21 - 60ω,39 - 21ω
41.0,19.0,2764,0.676,0,0,0,2,(2) (30 + 19ω),0,60 + 38ω,22 + 60ω,-38 + 22ω,-60 - 38ω,-22 - 60ω,38 - 22ω
41.5,18.5,2749,0.657,1,0,0,1,'(60 + 37ω),0,60 + 37ω,23 + 60ω,-37 + 23ω,-60 - 37ω,-23 - 60ω,37 - 23ω
42.0,18.0,2736,0.639,0,0,2,3,(2 + ω)² (2)² (5 + 3ω),0,60 + 36ω,24 + 60ω,-36 + 24ω,-60 - 36ω,-24 - 60ω,36 - 24ω
42.5,17.5,2725,0.62,0,1,0,2,(5) (7 - 5ω),0,60 + 35ω,25 + 60ω,-35 + 25ω,-60 - 35ω,-25 - 60ω,35 - 25ω
44.0,17.0,2803,0.59,1,0,0,1,'(61 + 34ω),0,61 + 34ω,27 + 61ω,-34 + 27ω,-61 - 34ω,-27 - 61ω,34 - 27ω
43.0,17.0,2716,0.6,0,1,0,3,(2) (3 + ω) (3 - 8ω),0,60 + 34ω,26 + 60ω,-34 + 26ω,-60 - 34ω,-26 - 60ω,34 - 26ω
44.5,16.5,2797,0.571,1,0,0,1,'(61 + 33ω),0,61 + 33ω,28 + 61ω,-33 + 28ω,-61 - 33ω,-28 - 61ω,33 - 28ω
43.5,16.5,2709,0.581,0,0,1,3,(2 + ω)² (2 - ω) (6 - ω),0,60 + 33ω,27 + 60ω,-33 + 27ω,-60 - 33ω,-27 - 60ω,33 - 27ω
45.0,16.0,2793,0.552,0,0,1,3,(2 + ω) (3 + ω)² (5 + 2ω),0,61 + 32ω,29 + 61ω,-32 + 29ω,-61 - 32ω,-29 - 61ω,32 - 29ω
44.0,16.0,2704,0.562,0,1,2,2,(2)² (3 - ω)²,0,60 + 32ω,28 + 60ω,-32 + 28ω,-60 - 32ω,-28 - 60ω,32 - 28ω
45.5,15.5,2791,0.533,1,0,0,1,'(61 + 31ω),0,61 + 31ω,30 + 61ω,-31 + 30ω,-61 - 31ω,-30 - 61ω,31 - 30ω
46.0,15.0,2791,0.514,1,0,0,1,'(61 + 30ω),0,61 + 30ω,31 + 61ω,-30 + 31ω,-61 - 30ω,-31 - 61ω,30 - 31ω
46.5,14.5,2793,0.495,0,0,1,3,(2 + ω) (2 - ω)² (5 + 3ω),0,61 + 29ω,32 + 61ω,-29 + 32ω,-61 - 29ω,-32 - 61ω,29 - 32ω
47.0,14.0,2797,0.476,1,0,0,1,'(61 + 28ω),0,61 + 28ω,33 + 61ω,-28 + 33ω,-61 - 28ω,-33 - 61ω,28 - 33ω
46.0,14.0,2704,0.485,0,0,2,2,(2)² (4 + ω)²,0,60 + 28ω,32 + 60ω,-28 + 32ω,-60 - 28ω,-32 - 60ω,28 - 32ω
47.5,13.5,2803,0.457,1,0,0,1,'(61 + 27ω),0,61 + 27ω,34 + 61ω,-27 + 34ω,-61 - 27ω,-34 - 61ω,27 - 34ω
46.5,13.5,2709,0.466,0,0,1,3,(2 + ω)² (3 + ω) (7 + ω),0,60 + 27ω,33 + 60ω,-27 + 33ω,-60 - 27ω,-33 - 60ω,27 - 33ω
47.0,13.0,2716,0.447,0,1,0,3,(2) (2 - ω) (8 - 3ω),0,60 + 26ω,34 + 60ω,-26 + 34ω,-60 - 26ω,-34 - 60ω,26 - 34ω
47.5,12.5,2725,0.428,0,1,0,2,(5) (5 - 7ω),0,60 + 25ω,35 + 60ω,-25 + 35ω,-60 - 25ω,-35 - 60ω,25 - 35ω
48.0,12.0,2736,0.409,0,0,2,3,(2 + ω)² (2)² (5 + 2ω),0,60 + 24ω,36 + 60ω,-24 + 36ω,-60 - 24ω,-36 - 60ω,24 - 36ω
