Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-6.5,3.5,-19,2.391,1,9,0,1,(1 - 2√5),2,-6.5 + 3.5√5,6.5 - 3.5√5,1 - 2√5
8.0,3.0,19,0.576,1,10,0,1,(1 - 2√5),2,8 + 3√5,-8 - 3√5,1 - 2√5
-8.0,3.0,19,2.566,1,13,0,1,(1 + 2√5),2,-8 + 3√5,8 - 3√5,1 + 2√5
11.5,5.5,-19,0.692,1,14,0,1,(1 - 2√5),2,11.5 + 5.5√5,-11.5 - 5.5√5,1 - 2√5
-11.5,5.5,-19,2.45,1,17,0,1,(1 + 2√5),2,-11.5 + 5.5√5,11.5 - 5.5√5,1 + 2√5
12.0,5.0,19,0.625,1,10,0,1,(1 + 2√5),2,12 + 5√5,-12 - 5√5,1 + 2√5
-12.0,5.0,19,2.516,1,13,0,1,(1 - 2√5),2,-12 + 5√5,12 - 5√5,1 - 2√5
18.5,8.5,-19,0.672,1,14,0,1,(1 + 2√5),2,18.5 + 8.5√5,-18.5 - 8.5√5,1 + 2√5
-18.5,8.5,-19,2.469,1,17,0,1,(1 - 2√5),2,-18.5 + 8.5√5,18.5 - 8.5√5,1 - 2√5
19.5,8.5,19,0.647,1,18,0,1,(1 - 2√5),2,19.5 + 8.5√5,-19.5 - 8.5√5,1 - 2√5
-19.5,8.5,19,2.495,1,21,0,1,(1 + 2√5),2,-19.5 + 8.5√5,19.5 - 8.5√5,1 + 2√5
30.5,13.5,19,0.654,1,18,0,1,(1 + 2√5),2,30.5 + 13.5√5,-30.5 - 13.5√5,1 + 2√5
-30.5,13.5,19,2.488,1,21,0,1,(1 - 2√5),2,-30.5 + 13.5√5,30.5 - 13.5√5,1 - 2√5
31.0,14.0,-19,0.664,1,22,0,1,(1 - 2√5),2,31 + 14√5,-31 - 14√5,1 - 2√5
-31.0,14.0,-19,2.478,1,25,0,1,(1 + 2√5),2,-31 + 14√5,31 - 14√5,1 + 2√5
0.0,2.0,-20,1.571,0,2,0,2,(1 + √5) (√5),0,2√5,-2√5
5.0,1.0,20,0.333,0,4,0,2,(1 + √5) (√5),0,5 + √5,-5 - √5
-5.0,1.0,20,2.808,0,8,0,2,(1 + √5) (√5),1,-5 + √5,5 - √5
5.0,3.0,-20,0.805,0,0,0,2,(1 + √5) (√5),0,5 + 3√5,-5 - 3√5
-5.0,3.0,-20,2.337,0,12,0,2,(1 + √5) (√5),1,-5 + 3√5,5 - 3√5
10.0,4.0,20,0.606,0,6,0,2,(1 + √5) (√5),0,10 + 4√5,-10 - 4√5
-10.0,4.0,20,2.536,0,16,0,2,(1 + √5) (√5),1,-10 + 4√5,10 - 4√5
15.0,7.0,-20,0.68,0,10,0,2,(1 + √5) (√5),0,15 + 7√5,-15 - 7√5
-15.0,7.0,-20,2.462,0,20,0,2,(1 + √5) (√5),1,-15 + 7√5,15 - 7√5
25.0,11.0,20,0.651,0,14,0,2,(1 + √5) (√5),0,25 + 11√5,-25 - 11√5
-25.0,11.0,20,2.49,0,24,0,2,(1 + √5) (√5),1,-25 + 11√5,25 - 11√5
2.5,2.5,-25,1.047,0,0,1,1,(√5)²,0,2.5 + 2.5√5,-2.5 - 2.5√5
-2.5,2.5,-25,2.094,0,2,1,1,(√5)²,1,-2.5 + 2.5√5,2.5 - 2.5√5
5,0,25,0.0,0,4,1,1,(√5)²,0,5,-5
7.5,2.5,25,0.524,0,6,1,1,(√5)²,0,7.5 + 2.5√5,-7.5 - 2.5√5
-7.5,2.5,25,2.618,0,8,1,1,(√5)²,1,-7.5 + 2.5√5,7.5 - 2.5√5
10.0,5.0,-25,0.714,0,10,1,1,(√5)²,0,10 + 5√5,-10 - 5√5
-10.0,5.0,-25,2.428,0,12,1,1,(√5)²,1,-10 + 5√5,10 - 5√5
17.5,7.5,25,0.639,0,14,1,1,(√5)²,0,17.5 + 7.5√5,-17.5 - 7.5√5
-17.5,7.5,25,2.503,0,16,1,1,(√5)²,1,-17.5 + 7.5√5,17.5 - 7.5√5
