Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
38.5,15.5,17579,0.609,1,0,0,1,'(38.5 + 15.5√-67),0,38.5 + 15.5√-67,-38.5 - 15.5√-67
-37.5,15.5,17503,2.521,0,0,0,2,(2.5 + 0.5√-67) (18.5 + 2.5√-67),1,-37.5 + 15.5√-67,37.5 - 15.5√-67
37.5,15.5,17503,0.621,0,1,0,2,(2.5 - 0.5√-67) (18.5 - 2.5√-67),0,37.5 + 15.5√-67,-37.5 - 15.5√-67
-36.5,15.5,17429,2.508,0,0,0,2,(3.5 + 0.5√-67) (13.5 + 2.5√-67),1,-36.5 + 15.5√-67,36.5 - 15.5√-67
36.5,15.5,17429,0.634,0,1,0,2,(3.5 - 0.5√-67) (13.5 - 2.5√-67),0,36.5 + 15.5√-67,-36.5 - 15.5√-67
-50.0,15.0,17575,2.663,0,0,0,3,(1.5 + 0.5√-67) (5) (4.5 + 0.5√-67),1,-50 + 15√-67,50 - 15√-67
50.0,15.0,17575,0.479,0,1,0,3,(1.5 - 0.5√-67) (5) (4.5 - 0.5√-67),0,50 + 15√-67,-50 - 15√-67
-49.0,15.0,17476,2.654,0,1,0,3,(2) (0.5 - 0.5√-67) (15.5 + 0.5√-67),1,-49 + 15√-67,49 - 15√-67
49.0,15.0,17476,0.488,0,0,0,3,(2) (0.5 + 0.5√-67) (15.5 - 0.5√-67),0,49 + 15√-67,-49 - 15√-67
-16.0,16.0,17408,2.095,0,1,4,2,(2)⁵ (0.5 - 0.5√-67),1,-16 + 16√-67,16 - 16√-67
16.0,16.0,17408,1.047,0,0,4,2,(2)⁵ (0.5 + 0.5√-67),0,16 + 16√-67,-16 - 16√-67
-15.0,16.0,17377,2.067,1,0,0,1,'(15 - 16√-67),1,-15 + 16√-67,15 - 16√-67
15.0,16.0,17377,1.075,1,0,0,1,'(15 + 16√-67),0,15 + 16√-67,-15 - 16√-67
-14.0,16.0,17348,2.039,0,1,0,2,(2) (7 - 8√-67),1,-14 + 16√-67,14 - 16√-67
14.0,16.0,17348,1.103,0,0,0,2,(2) (7 + 8√-67),0,14 + 16√-67,-14 - 16√-67
-13.0,16.0,17321,2.01,1,0,0,1,'(13 - 16√-67),1,-13 + 16√-67,13 - 16√-67
13.0,16.0,17321,1.132,1,0,0,1,'(13 + 16√-67),0,13 + 16√-67,-13 - 16√-67
-12.0,16.0,17296,1.98,0,0,1,3,(2)² (2.5 + 0.5√-67) (5.5 + 0.5√-67),1,-12 + 16√-67,12 - 16√-67
12.0,16.0,17296,1.162,0,1,1,3,(2)² (2.5 - 0.5√-67) (5.5 - 0.5√-67),0,12 + 16√-67,-12 - 16√-67
-11.0,16.0,17273,1.949,0,1,0,2,(2.5 - 0.5√-67) (24.5 - 1.5√-67),1,-11 + 16√-67,11 - 16√-67
11.0,16.0,17273,1.193,0,0,0,2,(2.5 + 0.5√-67) (24.5 + 1.5√-67),0,11 + 16√-67,-11 - 16√-67
-10.0,16.0,17252,1.918,0,1,0,3,(2) (1.5 - 0.5√-67) (14.5 - 0.5√-67),1,-10 + 16√-67,10 - 16√-67
10.0,16.0,17252,1.224,0,0,0,3,(2) (1.5 + 0.5√-67) (14.5 + 0.5√-67),0,10 + 16√-67,-10 - 16√-67
-9.0,16.0,17233,1.885,0,0,0,2,(1.5 + 0.5√-67) (27.5 + 1.5√-67),1,-9 + 16√-67,9 - 16√-67
9.0,16.0,17233,1.257,0,1,0,2,(1.5 - 0.5√-67) (27.5 - 1.5√-67),0,9 + 16√-67,-9 - 16√-67
-8.0,16.0,17216,1.852,0,1,2,2,(2)³ (1 - 2√-67),1,-8 + 16√-67,8 - 16√-67
8.0,16.0,17216,1.29,0,0,2,2,(2)³ (1 + 2√-67),0,8 + 16√-67,-8 - 16√-67
-7.0,16.0,17201,1.819,0,0,0,2,(6 + √-67) (10 + √-67),1,-7 + 16√-67,7 - 16√-67
7.0,16.0,17201,1.323,0,1,0,2,(6 - √-67) (10 - √-67),0,7 + 16√-67,-7 - 16√-67
-6.0,16.0,17188,1.784,0,1,0,2,(2) (3 - 8√-67),1,-6 + 16√-67,6 - 16√-67
6.0,16.0,17188,1.358,0,0,0,2,(2) (3 + 8√-67),0,6 + 16√-67,-6 - 16√-67
