Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
38.5,15.5,3164,0.609,0,1,1,3,(0.5 - 0.5√-7)² (√-7) (1 - 4√-7),0,38.5 + 15.5√-7,-38.5 - 15.5√-7
-40.0,15.0,3175,2.566,0,1,0,2,(5) (8 - 3√-7),1,-40 + 15√-7,40 - 15√-7
40.0,15.0,3175,0.576,0,0,0,2,(5) (8 + 3√-7),0,40 + 15√-7,-40 - 15√-7
-41.5,14.5,3194,2.598,0,0,0,2,(0.5 + 0.5√-7) (15 + 14√-7),1,-41.5 + 14.5√-7,41.5 - 14.5√-7
41.5,14.5,3194,0.544,0,1,0,2,(0.5 - 0.5√-7) (15 - 14√-7),0,41.5 + 14.5√-7,-41.5 - 14.5√-7
-43.0,14.0,3221,2.629,1,0,0,1,'(43 - 14√-7),1,-43 + 14√-7,43 - 14√-7
43.0,14.0,3221,0.513,1,0,0,1,'(43 + 14√-7),0,43 + 14√-7,-43 - 14√-7
-42.0,14.0,3136,2.618,0,1,6,3,(0.5 + 0.5√-7)⁴ (0.5 - 0.5√-7)² (√-7)²,1,-42 + 14√-7,42 - 14√-7
42.0,14.0,3136,0.524,0,0,6,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)⁴ (√-7)²,0,42 + 14√-7,-42 - 14√-7
-43.5,13.5,3168,2.649,0,1,4,3,(0.5 - 0.5√-7)⁵ (3) (2 - √-7),1,-43.5 + 13.5√-7,43.5 - 13.5√-7
43.5,13.5,3168,0.493,0,0,4,3,(0.5 + 0.5√-7)⁵ (3) (2 + √-7),0,43.5 + 13.5√-7,-43.5 - 13.5√-7
-45.0,13.0,3208,2.678,0,1,2,3,(0.5 + 0.5√-7) (0.5 - 0.5√-7)² (17 + 4√-7),1,-45 + 13√-7,45 - 13√-7
45.0,13.0,3208,0.464,0,0,2,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7) (17 - 4√-7),0,45 + 13√-7,-45 - 13√-7
-45.5,12.5,3164,2.698,0,0,1,3,(0.5 + 0.5√-7)² (√-7) (1 - 4√-7),1,-45.5 + 12.5√-7,45.5 - 12.5√-7
45.5,12.5,3164,0.444,0,0,1,3,(0.5 - 0.5√-7)² (√-7) (1 + 4√-7),0,45.5 + 12.5√-7,-45.5 - 12.5√-7
-47.0,12.0,3217,2.726,1,0,0,1,'(47 - 12√-7),1,-47 + 12√-7,47 - 12√-7
47.0,12.0,3217,0.416,1,0,0,1,'(47 + 12√-7),0,47 + 12√-7,-47 - 12√-7
-47.5,11.5,3182,2.745,0,1,0,3,(0.5 - 0.5√-7) (6 - √-7) (3 + 2√-7),1,-47.5 + 11.5√-7,47.5 - 11.5√-7
47.5,11.5,3182,0.397,0,0,0,3,(0.5 + 0.5√-7) (6 + √-7) (3 - 2√-7),0,47.5 + 11.5√-7,-47.5 - 11.5√-7
-49.0,11.0,3248,2.771,0,0,3,4,(0.5 + 0.5√-7)³ (0.5 - 0.5√-7) (√-7) (1 - 2√-7),1,-49 + 11√-7,49 - 11√-7
49.0,11.0,3248,0.371,0,0,3,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7)³ (√-7) (1 + 2√-7),0,49 + 11√-7,-49 - 11√-7
-48.0,11.0,3151,2.764,0,1,0,2,(4 + √-7) (5 - 4√-7),1,-48 + 11√-7,48 - 11√-7
48.0,11.0,3151,0.378,0,0,0,2,(4 - √-7) (5 + 4√-7),0,48 + 11√-7,-48 - 11√-7
-49.5,10.5,3222,2.79,0,0,0,3,(0.5 + 0.5√-7) (3) (2 + 5√-7),1,-49.5 + 10.5√-7,49.5 - 10.5√-7
49.5,10.5,3222,0.352,0,1,0,3,(0.5 - 0.5√-7) (3) (2 - 5√-7),0,49.5 + 10.5√-7,-49.5 - 10.5√-7
-50.0,10.0,3200,2.809,0,0,6,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)⁵ (5),1,-50 + 10√-7,50 - 10√-7
50.0,10.0,3200,0.333,0,1,6,3,(0.5 + 0.5√-7)⁵ (0.5 - 0.5√-7)² (5),0,50 + 10√-7,-50 - 10√-7
-36.0,16.0,3088,2.486,0,1,3,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)² (9 - 4√-7),1,-36 + 16√-7,36 - 16√-7
36.0,16.0,3088,0.656,0,0,3,3,(0.5 + 0.5√-7)² (0.5 - 0.5√-7)² (9 + 4√-7),0,36 + 16√-7,-36 - 16√-7
-37.5,15.5,3088,2.521,0,0,3,2,(0.5 - 0.5√-7)⁴ (9 + 4√-7),1,-37.5 + 15.5√-7,37.5 - 15.5√-7
37.5,15.5,3088,0.621,0,1,3,2,(0.5 + 0.5√-7)⁴ (9 - 4√-7),0,37.5 + 15.5√-7,-37.5 - 15.5√-7
-39.0,15.0,3096,2.554,0,1,2,4,(0.5 + 0.5√-7) (0.5 - 0.5√-7)² (3) (6 + √-7),1,-39 + 15√-7,39 - 15√-7
39.0,15.0,3096,0.588,0,0,2,4,(0.5 + 0.5√-7)² (0.5 - 0.5√-7) (3) (6 - √-7),0,39 + 15√-7,-39 - 15√-7
-40.5,14.5,3112,2.587,0,0,2,2,(0.5 - 0.5√-7)³ (19 - 2√-7),1,-40.5 + 14.5√-7,40.5 - 14.5√-7
40.5,14.5,3112,0.555,0,1,2,2,(0.5 + 0.5√-7)³ (19 + 2√-7),0,40.5 + 14.5√-7,-40.5 - 14.5√-7
-39.5,14.5,3032,2.576,0,0,2,2,(0.5 + 0.5√-7)³ (6 - 7√-7),1,-39.5 + 14.5√-7,39.5 - 14.5√-7
39.5,14.5,3032,0.566,0,1,2,2,(0.5 - 0.5√-7)³ (6 + 7√-7),0,39.5 + 14.5√-7,-39.5 - 14.5√-7
-41.0,14.0,3053,2.608,0,1,0,2,(6 - √-7) (8 - √-7),1,-41 + 14√-7,41 - 14√-7
41.0,14.0,3053,0.534,0,0,0,2,(6 + √-7) (8 + √-7),0,41 + 14√-7,-41 - 14√-7
