Id,Re,Im,Norm,Agr,Prime,Assoc,Primes,Distinct,Factor,TextIndex,Text
-45.0,15.0,11700,2.618,0,1,0,4,(2) (3) (1.5 - 0.5√-43) (5),1,-45 + 15√-43,45 - 15√-43
45.0,15.0,11700,0.524,0,0,0,4,(2) (3) (1.5 + 0.5√-43) (5),0,45 + 15√-43,-45 - 15√-43
-25.0,16.0,11633,2.305,1,0,0,1,'(25 - 16√-43),1,-25 + 16√-43,25 - 16√-43
25.0,16.0,11633,0.837,1,0,0,1,'(25 + 16√-43),0,25 + 16√-43,-25 - 16√-43
-24.0,16.0,11584,2.285,0,1,2,2,(2)³ (3 - 2√-43),1,-24 + 16√-43,24 - 16√-43
24.0,16.0,11584,0.857,0,0,2,2,(2)³ (3 + 2√-43),0,24 + 16√-43,-24 - 16√-43
-23.0,16.0,11537,2.264,0,1,0,2,(8.5 - 0.5√-43) (6.5 - 1.5√-43),1,-23 + 16√-43,23 - 16√-43
23.0,16.0,11537,0.878,0,0,0,2,(8.5 + 0.5√-43) (6.5 + 1.5√-43),0,23 + 16√-43,-23 - 16√-43
-22.0,16.0,11492,2.242,0,1,1,3,(2) (1.5 - 0.5√-43)² (2.5 + 0.5√-43),1,-22 + 16√-43,22 - 16√-43
22.0,16.0,11492,0.9,0,0,1,3,(2) (1.5 + 0.5√-43)² (2.5 - 0.5√-43),0,22 + 16√-43,-22 - 16√-43
-21.0,16.0,11449,2.22,0,1,1,1,(8 - √-43)²,1,-21 + 16√-43,21 - 16√-43
21.0,16.0,11449,0.922,0,0,1,1,(8 + √-43)²,0,21 + 16√-43,-21 - 16√-43
-36.5,15.5,11663,2.508,0,0,0,2,(8 + √-43) (3.5 + 1.5√-43),1,-36.5 + 15.5√-43,36.5 - 15.5√-43
36.5,15.5,11663,0.634,0,1,0,2,(8 - √-43) (3.5 - 1.5√-43),0,36.5 + 15.5√-43,-36.5 - 15.5√-43
-35.5,15.5,11591,2.495,0,0,0,2,(7.5 + 0.5√-43) (1 + 2√-43),1,-35.5 + 15.5√-43,35.5 - 15.5√-43
35.5,15.5,11591,0.647,0,1,0,2,(7.5 - 0.5√-43) (1 - 2√-43),0,35.5 + 15.5√-43,-35.5 - 15.5√-43
-34.5,15.5,11521,2.481,0,0,0,2,(5.5 + 0.5√-43) (3.5 + 2.5√-43),1,-34.5 + 15.5√-43,34.5 - 15.5√-43
34.5,15.5,11521,0.661,0,1,0,2,(5.5 - 0.5√-43) (3.5 - 2.5√-43),0,34.5 + 15.5√-43,-34.5 - 15.5√-43
-33.5,15.5,11453,2.466,0,1,0,2,(1.5 - 0.5√-43) (29.5 - 0.5√-43),1,-33.5 + 15.5√-43,33.5 - 15.5√-43
33.5,15.5,11453,0.676,0,0,0,2,(1.5 + 0.5√-43) (29.5 + 0.5√-43),0,33.5 + 15.5√-43,-33.5 - 15.5√-43
-44.0,15.0,11611,2.609,0,0,0,2,(2.5 + 0.5√-43) (12.5 + 3.5√-43),1,-44 + 15√-43,44 - 15√-43
44.0,15.0,11611,0.533,0,1,0,2,(2.5 - 0.5√-43) (12.5 - 3.5√-43),0,44 + 15√-43,-44 - 15√-43
-43.0,15.0,11524,2.599,0,0,0,3,(2) (√-43) (7.5 + 0.5√-43),1,-43 + 15√-43,43 - 15√-43
43.0,15.0,11524,0.543,0,0,0,3,(2) (√-43) (7.5 - 0.5√-43),0,43 + 15√-43,-43 - 15√-43
-49.5,14.5,11491,2.672,1,0,0,1,'(49.5 - 14.5√-43),1,-49.5 + 14.5√-43,49.5 - 14.5√-43
49.5,14.5,11491,0.47,1,0,0,1,'(49.5 + 14.5√-43),0,49.5 + 14.5√-43,-49.5 - 14.5√-43
-20.0,16.0,11408,2.196,0,1,1,3,(2)² (3.5 - 0.5√-43) (4.5 - 0.5√-43),1,-20 + 16√-43,20 - 16√-43
20.0,16.0,11408,0.946,0,0,1,3,(2)² (3.5 + 0.5√-43) (4.5 + 0.5√-43),0,20 + 16√-43,-20 - 16√-43
-19.0,16.0,11369,2.172,1,0,0,1,'(19 - 16√-43),1,-19 + 16√-43,19 - 16√-43
19.0,16.0,11369,0.97,1,0,0,1,'(19 + 16√-43),0,19 + 16√-43,-19 - 16√-43
-18.0,16.0,11332,2.147,0,1,0,2,(2) (9 - 8√-43),1,-18 + 16√-43,18 - 16√-43
18.0,16.0,11332,0.995,0,0,0,2,(2) (9 + 8√-43),0,18 + 16√-43,-18 - 16√-43
-17.0,16.0,11297,2.121,0,0,0,3,(0.5 + 0.5√-43) (1.5 + 0.5√-43) (6 - √-43),1,-17 + 16√-43,17 - 16√-43
17.0,16.0,11297,1.021,0,1,0,3,(0.5 - 0.5√-43) (1.5 - 0.5√-43) (6 + √-43),0,17 + 16√-43,-17 - 16√-43
-16.0,16.0,11264,2.095,0,1,4,2,(2)⁵ (0.5 - 0.5√-43),1,-16 + 16√-43,16 - 16√-43
16.0,16.0,11264,1.047,0,0,4,2,(2)⁵ (0.5 + 0.5√-43),0,16 + 16√-43,-16 - 16√-43
-32.5,15.5,11387,2.452,0,1,0,2,(4 - √-43) (13.5 - 0.5√-43),1,-32.5 + 15.5√-43,32.5 - 15.5√-43
32.5,15.5,11387,0.69,0,0,0,2,(4 + √-43) (13.5 + 0.5√-43),0,32.5 + 15.5√-43,-32.5 - 15.5√-43
-31.5,15.5,11323,2.436,0,0,1,2,(1.5 + 0.5√-43)² (7.5 - 0.5√-43),1,-31.5 + 15.5√-43,31.5 - 15.5√-43
31.5,15.5,11323,0.706,0,1,1,2,(1.5 - 0.5√-43)² (7.5 + 0.5√-43),0,31.5 + 15.5√-43,-31.5 - 15.5√-43
-30.5,15.5,11261,2.42,1,0,0,1,'(30.5 - 15.5√-43),1,-30.5 + 15.5√-43,30.5 - 15.5√-43
30.5,15.5,11261,0.722,1,0,0,1,'(30.5 + 15.5√-43),0,30.5 + 15.5√-43,-30.5 - 15.5√-43
-42.0,15.0,11439,2.588,0,1,0,3,(3) (4.5 - 0.5√-43) (5.5 - 0.5√-43),1,-42 + 15√-43,42 - 15√-43
42.0,15.0,11439,0.554,0,0,0,3,(3) (4.5 + 0.5√-43) (5.5 + 0.5√-43),0,42 + 15√-43,-42 - 15√-43
-41.0,15.0,11356,2.577,0,1,0,3,(2) (2.5 - 0.5√-43) (12.5 - 0.5√-43),1,-41 + 15√-43,41 - 15√-43
41.0,15.0,11356,0.565,0,0,0,3,(2) (2.5 + 0.5√-43) (12.5 + 0.5√-43),0,41 + 15√-43,-41 - 15√-43
-40.0,15.0,11275,2.566,0,0,0,3,(0.5 + 0.5√-43) (5) (5.5 + 0.5√-43),1,-40 + 15√-43,40 - 15√-43
40.0,15.0,11275,0.576,0,1,0,3,(0.5 - 0.5√-43) (5) (5.5 - 0.5√-43),0,40 + 15√-43,-40 - 15√-43
-48.5,14.5,11393,2.664,1,0,0,1,'(48.5 - 14.5√-43),1,-48.5 + 14.5√-43,48.5 - 14.5√-43
48.5,14.5,11393,0.478,1,0,0,1,'(48.5 + 14.5√-43),0,48.5 + 14.5√-43,-48.5 - 14.5√-43
-47.5,14.5,11297,2.656,0,1,0,3,(0.5 - 0.5√-43) (1.5 + 0.5√-43) (6 - √-43),1,-47.5 + 14.5√-43,47.5 - 14.5√-43
47.5,14.5,11297,0.486,0,0,0,3,(0.5 + 0.5√-43) (1.5 - 0.5√-43) (6 + √-43),0,47.5 + 14.5√-43,-47.5 - 14.5√-43
-15.0,16.0,11233,2.067,0,0,0,2,(2 + √-43) (14 + √-43),1,-15 + 16√-43,15 - 16√-43
15.0,16.0,11233,1.075,0,1,0,2,(2 - √-43) (14 - √-43),0,15 + 16√-43,-15 - 16√-43
-14.0,16.0,11204,2.039,0,1,0,2,(2) (7 - 8√-43),1,-14 + 16√-43,14 - 16√-43
14.0,16.0,11204,1.103,0,0,0,2,(2) (7 + 8√-43),0,14 + 16√-43,-14 - 16√-43
-13.0,16.0,11177,2.01,1,0,0,1,'(13 - 16√-43),1,-13 + 16√-43,13 - 16√-43
13.0,16.0,11177,1.132,1,0,0,1,'(13 + 16√-43),0,13 + 16√-43,-13 - 16√-43
-12.0,16.0,11152,1.98,0,1,1,3,(2)² (2.5 - 0.5√-43) (5.5 - 0.5√-43),1,-12 + 16√-43,12 - 16√-43
12.0,16.0,11152,1.162,0,0,1,3,(2)² (2.5 + 0.5√-43) (5.5 + 0.5√-43),0,12 + 16√-43,-12 - 16√-43
-11.0,16.0,11129,1.949,0,0,0,2,(4.5 + 0.5√-43) (9.5 + 2.5√-43),1,-11 + 16√-43,11 - 16√-43
11.0,16.0,11129,1.193,0,1,0,2,(4.5 - 0.5√-43) (9.5 - 2.5√-43),0,11 + 16√-43,-11 - 16√-43
-10.0,16.0,11108,1.918,0,1,0,2,(2) (5 - 8√-43),1,-10 + 16√-43,10 - 16√-43
10.0,16.0,11108,1.224,0,0,0,2,(2) (5 + 8√-43),0,10 + 16√-43,-10 - 16√-43
-9.0,16.0,11089,1.885,0,1,0,2,(1.5 - 0.5√-43) (27.5 - 1.5√-43),1,-9 + 16√-43,9 - 16√-43
9.0,16.0,11089,1.257,0,0,0,2,(1.5 + 0.5√-43) (27.5 + 1.5√-43),0,9 + 16√-43,-9 - 16√-43
-8.0,16.0,11072,1.852,0,1,2,2,(2)³ (1 - 2√-43),1,-8 + 16√-43,8 - 16√-43
8.0,16.0,11072,1.29,0,0,2,2,(2)³ (1 + 2√-43),0,8 + 16√-43,-8 - 16√-43
